"Variables ->","i","i_star","D4L_cpi","D4L_ner","D4L_MB","D4L_REM","D4L_pet","gdp_gap_star","gdp_gap"
"Comments ->","","","","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2005M10",3.75000000e+00,4.02000000e+00,9.79278020e+00,-1.93429628e+00,1.39404973e+01,2.43845217e+01,1.55749201e+01,8.01640710e-01,-4.05365787e+00
"2005M11",3.84090909e+00,4.03000000e+00,8.84502531e+00,-2.08069925e+00,1.33146024e+01,1.15197901e+01,1.85063535e+01,7.95972264e-01,-2.70142888e+00
"2005M12",4.11363636e+00,4.09000000e+00,8.21948569e+00,-2.20931663e+00,1.02948596e+01,1.60182581e+01,3.19823241e+01,8.63444994e-01,1.30972032e+00
"2006M01",4.25000000e+00,4.47000000e+00,7.77330873e+00,-1.82059645e+00,2.10748693e+01,1.72327470e+01,3.35147620e+01,9.06466680e-01,-2.55897278e-01
"2006M02",4.25000000e+00,4.52000000e+00,7.01187097e+00,-1.43511922e+00,1.46625108e+01,2.23339803e+01,2.46866568e+01,8.59193735e-01,1.33415995e-01
"2006M03",4.25000000e+00,5.00000000e+00,7.02782965e+00,0.00000000e+00,1.35429980e+01,1.59064695e+01,1.45687981e+01,9.45412923e-01,2.87104431e+00
"2006M04",4.27500000e+00,4.86000000e+00,7.21422985e+00,-2.63158047e-01,1.54967333e+01,1.16597030e+01,2.70619617e+01,8.77156793e-01,-2.24835888e+00
"2006M05",4.50000000e+00,5.05000000e+00,7.34032597e+00,-1.31839175e-01,1.76529798e+01,2.75762980e+01,3.51787900e+01,9.55153344e-01,1.33655553e+00
"2006M06",4.57954545e+00,5.05000000e+00,7.28095428e+00,0.00000000e+00,1.84392666e+01,1.71991350e+01,2.30365645e+01,9.30420968e-01,3.48051486e+00
"2006M07",4.78571429e+00,5.31000000e+00,6.79909999e+00,-1.31839175e-01,1.47611967e+01,2.08884521e+01,2.32143318e+01,8.29335851e-01,3.26339621e+00
"2006M08",5.00000000e+00,5.31000000e+00,6.76223599e+00,-1.31839175e-01,2.13679201e+01,3.19317727e+01,1.16889085e+01,7.29218516e-01,1.36979909e+00
"2006M09",5.00000000e+00,5.34000000e+00,5.54184807e+00,-1.31319782e-01,1.64735216e+01,1.92889143e+01,-2.76505814e+00,6.65412679e-01,3.48737605e+00
"2006M10",5.00000000e+00,5.31000000e+00,3.78014769e+00,-9.15637529e-01,2.37177967e+01,1.95888348e+01,-5.55938396e+00,5.83621021e-01,2.38959255e+00
"2006M11",5.00000000e+00,5.31000000e+00,4.30695014e+00,0.00000000e+00,1.80621794e+01,1.03966472e+01,1.29468185e+00,3.53052779e-01,4.52342643e-01
