"Variables ->","i","i_star","D4L_cpi","D4L_pce_core","gdp_gap","gdp_gap_star"
"Comments ->","","","","","",""
"Class[Size] ->","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]","Series[286-by-1]"
"2007M11",6.01136364e+00,4.66000000e+00,8.73626087e+00,2.30897893e+00,5.55130613e-01,-2.29572614e-01
"2007M12",6.28571429e+00,3.06000000e+00,8.38471010e+00,2.37496611e+00,8.95911664e-01,-2.77650042e-01
"2008M01",6.50000000e+00,3.22000000e+00,8.05510875e+00,2.16934289e+00,1.33651045e+00,-4.29640683e-01
"2008M02",6.50000000e+00,3.01000000e+00,8.39954278e+00,2.05122323e+00,3.67371227e-01,-3.19539879e-01
"2008M03",6.53571429e+00,2.51000000e+00,8.70906381e+00,2.14653903e+00,-1.94111933e+00,-3.94947388e-01
"2008M04",6.75000000e+00,2.37000000e+00,9.86575162e+00,2.06231011e+00,1.14743745e+00,-4.80936344e-01
"2008M05",6.75000000e+00,1.98000000e+00,1.15482903e+01,2.12616795e+00,1.32823834e+00,-7.11443059e-01
"2008M06",6.75000000e+00,2.47000000e+00,1.27133499e+01,2.18994001e+00,1.22001825e+00,-9.21512287e-01
"2008M07",6.88043478e+00,2.09000000e+00,1.32394454e+01,2.21968103e+00,-9.17768933e-01,-1.11933807e+00
"2008M08",7.25000000e+00,1.94000000e+00,1.28268141e+01,2.19370008e+00,4.07475408e-01,-1.32795005e+00
"2008M09",7.25000000e+00,2.03000000e+00,1.19988289e+01,2.02337430e+00,-6.86545902e-01,-1.56048624e+00
"2008M10",7.25000000e+00,2.20000000e-01,1.21568168e+01,1.62118956e+00,-1.29188221e+00,-2.00862128e+00
"2008M11",7.25000000e+00,5.20000000e-01,1.02973555e+01,1.38069029e+00,4.39170839e-01,-2.43771591e+00
"2008M12",7.25000000e+00,1.40000000e-01,8.98427810e+00,1.13140331e+00,-3.16853415e+00,-2.82908381e+00
"2009M01",7.22727273e+00,2.30000000e-01,7.58616950e+00,9.01849233e-01,-4.20996494e+00,-3.15623564e+00
"2009M02",6.95000000e+00,2.20000000e-01,6.29568533e+00,8.83920561e-01,-3.71609043e+00,-3.52728442e+00
"2009M03",6.45454545e+00,1.60000000e-01,4.87763253e+00,7.59566618e-01,-4.28792869e+00,-3.92432236e+00
"2009M04",6.11363636e+00,2.00000000e-01,3.55853333e+00,9.23638913e-01,-3.45424727e+00,-4.26680735e+00
"2009M05",5.75000000e+00,1.90000000e-01,2.26838041e+00,8.18940188e-01,-3.25537811e+00,-4.43556076e+00
"2009M06",5.54545455e+00,2.20000000e-01,6.15318335e-01,7.17565184e-01,-3.27009962e+00,-4.31216720e+00
"2009M07",5.20652174e+00,1.80000000e-01,-3.02505524e-01,6.23634282e-01,-1.34049679e+00,-4.04153491e+00
"2009M08",4.75000000e+00,1.50000000e-01,-7.34934476e-01,6.48834548e-01,-1.34744415e+00,-3.69909129e+00
"2009M09",4.63636364e+00,7.00000000e-02,3.28317513e-02,7.22563654e-01,-1.05989492e+00,-3.32528657e+00
"2009M10",4.50000000e+00,1.10000000e-01,-6.55632571e-01,1.23227573e+00,7.16949873e-01,-2.95227906e+00
"2009M11",4.50000000e+00,1.30000000e-01,-6.11722911e-01,1.36412974e+00,-7.52650222e-01,-2.31738158e+00
"2009M12",4.50000000e+00,5.00000000e-02,-2.79153977e-01,1.49823571e+00,6.94263282e-01,-1.78477917e+00
"2010M01",4.50000000e+00,1.20000000e-01,1.42240606e+00,1.67676707e+00,-6.98658540e-01,-1.35338488e+00
"2010M02",4.50000000e+00,1.30000000e-01,2.45444556e+00,1.68438801e+00,-1.03592778e+00,-1.09719600e+00
"2010M03",4.50000000e+00,9.00000000e-02,3.85498331e+00,1.76136630e+00,-4.37656546e-01,-8.39047767e-01
"2010M04",4.50000000e+00,2.00000000e-01,3.68179719e+00,1.59026271e+00,-1.37425152e+00,-6.11762597e-01
"2010M05",4.50000000e+00,1.90000000e-01,3.44777491e+00,1.62360381e+00,-7.40796250e-01,-5.00270663e-02
"2010M06",4.50000000e+00,9.00000000e-02,3.98687910e+00,1.54359567e+00,-1.21175338e+00,2.25339861e-01
"2010M07",4.50000000e+00,1.80000000e-01,4.03768145e+00,1.45987994e+00,-9.08420535e-01,2.24003973e-01
"2010M08",4.50000000e+00,2.10000000e-01,4.01391676e+00,1.40766891e+00,-1.93150221e+00,2.69709804e-01
"2010M09",4.50000000e+00,1.50000000e-01,3.68970242e+00,1.28849153e+00,-1.00708460e+00,2.34648044e-01
"2010M10",4.50000000e+00,2.00000000e-01,4.40727485e+00,1.07300401e+00,3.54415677e-01,4.30844081e-01
"2010M11",4.50000000e+00,2.00000000e-01,5.12056337e+00,1.11533612e+00,-8.94736218e-01,2.54428860e-01
"2010M12",4.50000000e+00,1.30000000e-01,5.25312914e+00,1.05120384e+00,1.83076040e+00,5.21790376e-01
"2011M01",4.50000000e+00,1.70000000e-01,4.72497493e+00,1.11718086e+00,8.96880815e-01,2.01458377e-01
"2011M02",4.50000000e+00,1.60000000e-01,5.05429580e+00,1.20461963e+00,-2.62828250e-01,2.37310466e-01
